count,diff_srv_rate,dst_bytes,dst_host_count,dst_host_diff_srv_rate,dst_host_rerror_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate,dst_host_srv_serror_rate,duration,flag_oth,flag_rej,flag_rsto,flag_rstos0,flag_rstr,flag_s0,flag_s1,flag_s2,flag_s3,flag_sf,flag_sh,hot,is_guest_login,is_host_login,label,land,logged_in,num_access_files,num_compromised,num_failed_logins,num_file_creations,num_outbound_cmds,num_root,num_shells,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,rerror_rate,root_shell,same_srv_rate,serror_rate,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_irc,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,service_x11,service_z39_50,src_bytes,srv_count,srv_diff_host_rate,srv_rerror_rate,srv_serror_rate,su_attempted,urgent,wrong_fragment
1,0.0,0,4,0.0,1.0,0.25,1.0,0.0,253,0.19,0.99,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,0,0,0
8,0.0,318,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,normal,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,8,0.0,0.0,0.0,0,0,0
293,0.06,0,255,0.07,0.0,0.0,0.02,1.0,5,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,neptune,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.04,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,1.0,0,0,0
1,0.0,338,148,0.04,0.0,0.01,0.64,0.0,172,0.01,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,normal,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,2,1.0,0.0,0.0,0,0,0
105,0.07,0,255,0.08,1.0,0.0,0.05,0.0,12,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,neptune,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0.14,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,1.0,0.0,0,0,0
162,0.0,81,255,0.01,0.0,0.01,1.0,0.0,254,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,162,0.0,0.0,0.0,0,0,0
62,0.0,0,255,0.0,0.0,1.0,1.0,0.0,255,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,smurf,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,62,0.0,0.0,0.0,0,0,0
1,0.0,4152,2,1.0,0.0,0.5,0.5,0.0,1,0.0,0.0,0.0,27,0,0,0,0,0,0,0,0,0,1,0,30,1,0,normal,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1509,1,0.0,0.0,0.0,0,0,0
248,0.05,0,52,0.1,0.0,0.02,0.42,0.96,22,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,neptune,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.09,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.0,0.0,1.0,0,0,0
69,0.06,0,151,0.03,0.0,0.03,0.25,0.99,39,0.05,0.0,0.92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,neptune,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.23,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,1.0,0,0,0
