dataset,order,os_hm_mean,os_hm_std,n_seeds
toniot,sorted,0.8025,0.0445,10
toniot,random,0.7811,0.0637,10
nbaiot,sorted,0.7704,0.0813,10
nbaiot,random,0.7206,0.1077,10
cicids2018,sorted,0.7102,0.1233,10
cicids2018,random,0.7331,0.083,10
5g_nidd,sorted,0.8494,0.0403,10
5g_nidd,random,0.8419,0.0481,10
nsl_kdd,sorted,0.6005,0.2376,10
nsl_kdd,random,0.5625,0.258,10
edge_iiotset,sorted,0.617,0.0583,10
edge_iiotset,random,0.614,0.0554,10
ciciot2023_cat,sorted,0.6072,0.0767,10
ciciot2023_cat,random,0.5919,0.0853,10
