dataset,session_id,n_seeds,eta_mean,eta_std,eta_min,delta_u_mean,tau_mean,delta_k_mean,tur_mean,margin_frac_mean
toniot,0,10,0.88069,0.46568,0.34963,2.51362,1.63294,0.70931,0.89483,0.89483
toniot,1,10,0.87497,0.28017,0.47607,2.51768,1.64271,0.89245,0.89597,0.89597
toniot,2,10,0.94674,0.40184,0.35037,2.52741,1.58067,1.01772,0.90338,0.90338
toniot,3,10,0.94086,0.38223,0.38193,2.51242,1.57157,1.15173,0.90627,0.90627
toniot,4,10,0.95807,0.45035,0.35455,2.46168,1.50361,1.24643,0.90495,0.90495
nbaiot,0,10,15.67671,13.12881,0.32528,17.89603,2.21932,0.83825,0.84365,0.84365
nbaiot,1,10,11.96092,10.49647,0.16052,14.88786,2.92694,5.59189,0.78974,0.78974
nbaiot,2,10,11.28288,11.21208,0.77372,14.20219,2.91931,5.25509,0.76975,0.76975
nbaiot,3,10,11.12591,10.25116,0.3712,14.13584,3.00993,5.46594,0.85553,0.85553
nbaiot,4,10,7.02781,5.63196,0.83207,9.26,2.2322,5.23904,0.84325,0.84325
nbaiot,5,10,8.78044,7.51815,0.38205,10.90371,2.12327,4.83866,0.8788,0.8788
cicids2018,0,10,1.13417,0.78984,-0.12939,3.10343,1.96926,0.5845,0.79156,0.79156
cicids2018,1,10,1.12567,0.60154,0.3931,2.9993,1.87364,0.92517,0.78518,0.78518
cicids2018,2,10,1.18059,0.66191,0.35599,3.03515,1.85456,0.95389,0.80504,0.80504
cicids2018,3,10,1.10236,0.63073,0.16769,2.95818,1.85582,1.02269,0.79112,0.79112
cicids2018,4,10,0.99903,0.60537,0.08629,2.80048,1.80145,1.12792,0.75855,0.75855
cicids2018,5,10,0.68481,0.57661,-0.55988,2.47316,1.78835,1.28804,0.69303,0.69303
cicids2018,6,10,1.11818,0.83139,-0.00127,2.88376,1.76557,1.28463,0.79336,0.79336
cicids2018,7,10,1.0309,1.047,-0.88633,2.78349,1.75259,1.32875,0.7382,0.7382
5g_nidd,0,10,27.54364,15.12986,9.13196,32.42957,4.88592,0.78384,0.85643,0.85643
5g_nidd,1,10,22.35059,16.31284,4.36216,30.62715,8.27656,3.34209,0.78104,0.78104
5g_nidd,2,10,27.78117,19.6961,1.91955,32.79685,5.01568,3.78524,0.84387,0.84387
5g_nidd,3,10,32.47126,20.18616,-1.08902,35.09092,2.61966,3.47468,0.83125,0.83125
5g_nidd,4,10,25.19412,20.62935,1.98333,27.47302,2.2789,2.81615,0.9798,0.9798
nsl_kdd,0,10,90.21748,109.48171,-45.73278,200.89546,110.67798,29.26134,0.75906,0.75906
nsl_kdd,1,10,95.58013,100.4157,7.18219,201.51331,105.93317,34.83496,0.84478,0.84478
nsl_kdd,2,10,141.15023,164.68695,10.34125,215.01726,73.86703,53.42059,0.87549,0.87549
nsl_kdd,3,10,166.27937,171.98601,12.76911,207.44695,41.16758,62.14856,0.92622,0.92622
nsl_kdd,4,10,146.56839,145.39866,14.25215,189.52114,42.95275,132.98781,0.94074,0.94074
nsl_kdd,5,10,157.94859,165.83804,5.38577,173.54662,15.59803,140.17749,0.88673,0.88673
nsl_kdd,6,10,157.17535,169.99677,6.59707,169.33229,12.15693,142.1605,0.87857,0.87857
nsl_kdd,7,10,151.17345,172.18505,-5.32109,167.31223,16.13877,148.29552,0.8,0.8
