dataset,session_id,session_name,n_seeds,old_class_ccr_mean,old_class_ccr_std,new_class_acc_mean,overall_ccr_mean,overall_ccr_std
ToN-IoT,0,base,10,0.8739,0.084,,0.8739,0.084
ToN-IoT,1,backdoor,10,0.8586,0.1051,0.5193,0.7937,0.0882
ToN-IoT,2,mitm,10,0.7877,0.082,0.2757,0.7249,0.0886
ToN-IoT,3,normal,10,0.7256,0.0863,0.2172,0.6641,0.0927
ToN-IoT,4,ransomware,10,0.6612,0.0978,0.2402,0.6092,0.0839
ToN-IoT,5,xss,10,0.61,0.0866,0.3808,0.5848,0.0793
N-BaIoT,0,base,10,0.9197,0.0719,,0.9197,0.0719
N-BaIoT,1,benign,10,0.9201,0.0779,0.1443,0.7908,0.0636
N-BaIoT,2,gafgyt_tcp,10,0.7851,0.0657,0.4523,0.7376,0.1043
N-BaIoT,3,gafgyt_udp,10,0.7391,0.101,0.6147,0.7236,0.1161
N-BaIoT,4,mirai_ack,10,0.6941,0.1176,0.5936,0.6829,0.1261
N-BaIoT,5,mirai_scan,10,0.6529,0.1203,0.514,0.639,0.1316
N-BaIoT,6,mirai_udpplain,10,0.6272,0.1256,0.2684,0.5946,0.1166
CICIDS2018,0,base,10,0.921,0.0685,,0.921,0.0685
CICIDS2018,1,benign,10,0.9051,0.0829,0.1367,0.8035,0.0583
CICIDS2018,2,bot,10,0.8019,0.0585,0.5065,0.78,0.0628
CICIDS2018,3,ddos_attack_hoic,10,0.7793,0.0641,0.4252,0.7558,0.0771
CICIDS2018,4,ddos_attack_loic_udp,10,0.7449,0.0824,0.4384,0.7092,0.0853
CICIDS2018,5,ddos_attacks_loic_http,10,0.7104,0.0839,0.2305,0.6573,0.0789
CICIDS2018,6,dos_attacks_goldeneye,10,0.6547,0.0784,0.234,0.6136,0.0753
CICIDS2018,7,dos_attacks_slowloris,10,0.6117,0.0742,0.1973,0.5806,0.057
CICIDS2018,8,ftp_bruteforce,10,0.5734,0.0574,0.2245,0.5572,0.056
5G-NIDD,0,base,10,0.9263,0.0871,,0.9263,0.0871
5G-NIDD,1,benign,10,0.9753,0.0295,0.5266,0.8743,0.0876
5G-NIDD,2,synflood,10,0.8691,0.0787,0.6381,0.8202,0.0737
5G-NIDD,3,synscan,10,0.7987,0.0653,0.6554,0.7757,0.0548
5G-NIDD,4,udpflood,10,0.7392,0.129,0.5191,0.7088,0.1078
5G-NIDD,5,udpscan,10,0.6975,0.0969,0.7309,0.7016,0.0875
NSL-KDD,0,base,10,0.9064,0.0626,,0.9064,0.0626
NSL-KDD,1,apache2,10,0.874,0.1589,0.584,0.8621,0.1712
NSL-KDD,2,back,10,0.8227,0.1834,0.349,0.7702,0.2321
NSL-KDD,3,mscan,10,0.7468,0.2814,0.3209,0.7058,0.3163
NSL-KDD,4,neptune,10,0.7013,0.3103,0.2051,0.5856,0.3901
NSL-KDD,5,nmap,10,0.5745,0.4122,0.2026,0.4806,0.3858
NSL-KDD,6,normal,10,0.4632,0.3764,0.2651,0.4545,0.3784
NSL-KDD,7,satan,10,0.4639,0.38,0.2689,0.4618,0.379
NSL-KDD,8,smurf,10,0.4354,0.3578,0.303,0.4346,0.3565
