dataset,session_id,session_name,n_seeds,old_class_ccr_mean,old_class_ccr_std,new_class_acc_mean,overall_ccr_mean,overall_ccr_std
ToN-IoT,0,base,10,0.9162,0.0572,,0.9162,0.0572
ToN-IoT,1,backdoor,10,0.8876,0.0885,0.5188,0.8164,0.0864
ToN-IoT,2,mitm,10,0.8146,0.0885,0.3935,0.7676,0.0949
ToN-IoT,3,normal,10,0.7596,0.097,0.2777,0.7027,0.1017
ToN-IoT,4,ransomware,10,0.6996,0.1002,0.3622,0.6579,0.0876
ToN-IoT,5,xss,10,0.6581,0.0886,0.4136,0.6312,0.086
N-BaIoT,0,base,10,0.8918,0.0828,,0.8918,0.0828
N-BaIoT,1,benign,10,0.8851,0.1063,0.0778,0.7506,0.0813
N-BaIoT,2,gafgyt_tcp,10,0.7461,0.0806,0.4021,0.697,0.0949
N-BaIoT,3,gafgyt_udp,10,0.6979,0.0945,0.6208,0.6882,0.0979
N-BaIoT,4,mirai_ack,10,0.678,0.1006,0.5112,0.6595,0.0856
N-BaIoT,5,mirai_scan,10,0.6555,0.0854,0.3718,0.6271,0.0923
N-BaIoT,6,mirai_udpplain,10,0.6204,0.0901,0.2532,0.5871,0.0809
CICIDS2018,0,base,10,0.9606,0.0715,,0.9606,0.0715
CICIDS2018,1,benign,10,0.9527,0.0889,0.1372,0.8436,0.0698
CICIDS2018,2,bot,10,0.8455,0.0648,0.5332,0.8221,0.0712
CICIDS2018,3,ddos_attack_hoic,10,0.8172,0.071,0.5611,0.8077,0.0829
CICIDS2018,4,ddos_attack_loic_udp,10,0.7865,0.0878,0.6352,0.7684,0.102
CICIDS2018,5,ddos_attacks_loic_http,10,0.7726,0.1025,0.422,0.7342,0.0984
CICIDS2018,6,dos_attacks_goldeneye,10,0.7267,0.093,0.2691,0.682,0.0925
CICIDS2018,7,dos_attacks_slowloris,10,0.6719,0.0865,0.156,0.6325,0.0708
CICIDS2018,8,ftp_bruteforce,10,0.6069,0.0602,0.2051,0.5887,0.058
5G-NIDD,0,base,10,0.9103,0.1032,,0.9103,0.1032
5G-NIDD,1,benign,10,0.9548,0.0451,0.5684,0.8665,0.0861
5G-NIDD,2,synflood,10,0.8672,0.0853,0.5805,0.808,0.0839
5G-NIDD,3,synscan,10,0.7997,0.0784,0.6323,0.7728,0.0973
5G-NIDD,4,udpflood,10,0.7369,0.0951,0.5168,0.7065,0.0843
5G-NIDD,5,udpscan,10,0.6971,0.0834,0.6907,0.6964,0.0851
NSL-KDD,0,base,10,0.8827,0.0628,,0.8827,0.0628
NSL-KDD,1,apache2,10,0.8412,0.1256,0.4605,0.8245,0.1382
NSL-KDD,2,back,10,0.8083,0.1448,0.2461,0.7392,0.2119
NSL-KDD,3,mscan,10,0.7147,0.2697,0.326,0.6684,0.3153
NSL-KDD,4,neptune,10,0.6688,0.3085,0.2413,0.5716,0.3745
NSL-KDD,5,nmap,10,0.5515,0.4009,0.2099,0.4583,0.3661
NSL-KDD,6,normal,10,0.4534,0.3659,0.2538,0.4451,0.3678
NSL-KDD,7,satan,10,0.4571,0.3612,0.2768,0.4549,0.3602
NSL-KDD,8,smurf,10,0.4363,0.3572,0.3,0.4354,0.356
Edge-IIoTset,0,base,10,0.6935,0.0946,,0.6935,0.0946
Edge-IIoTset,1,backdoor,10,0.7199,0.1014,0.3145,0.6623,0.1108
Edge-IIoTset,2,ddos_http,10,0.6558,0.1125,0.2882,0.6184,0.1015
Edge-IIoTset,3,ddos_udp,10,0.6162,0.0982,0.2518,0.5819,0.1034
Edge-IIoTset,4,fingerprinting,10,0.5807,0.1064,0.2073,0.5524,0.0846
Edge-IIoTset,5,mitm,10,0.5483,0.0793,0.1119,0.5107,0.0763
Edge-IIoTset,6,normal,10,0.5082,0.0742,0.0584,0.4689,0.068
Edge-IIoTset,7,ransomware,10,0.4662,0.0756,0.0885,0.4359,0.0693
Edge-IIoTset,8,sql_injection,10,0.4303,0.0635,0.0641,0.403,0.0606
CICIoT2023 (7-category),0,base,10,0.79,0.1628,,0.79,0.1628
CICIoT2023 (7-category),1,benign,10,0.7343,0.1644,0.1799,0.5957,0.1335
CICIoT2023 (7-category),2,dos,10,0.5797,0.1262,0.1222,0.4882,0.1002
CICIoT2023 (7-category),3,mirai,10,0.4929,0.1025,0.1128,0.4296,0.0719
CICIoT2023 (7-category),4,web,10,0.4132,0.0615,0.0474,0.3609,0.0541
