regime,gamma_min_proxy,base_class_seed,session_id,tau,delta_u,eta_t,tur_t,n_unk
stress,0.001,48,0,3.3158,42.8709,39.5552,0.8972,6000
stress,0.001,48,1,5.3248,32.7273,27.4025,0.7954,5000
stress,0.001,48,2,5.2812,28.4684,23.1873,0.8668,4000
stress,0.001,48,3,5.9189,22.3844,16.4654,0.8303,3000
stress,0.001,48,4,3.4641,17.7508,14.2866,0.8465,2000
stress,0.001,48,5,3.4783,22.6401,19.1618,1.0,1000
control,0.1992,52,0,1.1472,2.8597,1.7125,0.7932,6000
control,0.1992,52,1,1.3231,2.5651,1.242,0.7272,5000
control,0.1992,52,2,1.2524,2.1819,0.9295,0.6625,4000
control,0.1992,52,3,1.2298,1.9259,0.6962,0.665,3000
control,0.1992,52,4,1.2188,2.8884,1.6696,0.9975,2000
control,0.1992,52,5,1.1892,3.3721,2.1829,1.0,1000
