dataset,K,os_hm_mean,os_hm_std,n_seeds
toniot,1,0.727,0.0534,10
toniot,2,0.747,0.0529,10
toniot,5,0.8002,0.0469,10
toniot,10,0.816,0.0475,10
nbaiot,1,0.716,0.0686,10
nbaiot,2,0.7564,0.0591,10
nbaiot,5,0.7701,0.0619,10
nbaiot,10,0.7818,0.0612,10
cicids2018,1,0.6948,0.0765,10
cicids2018,2,0.7071,0.0782,10
cicids2018,5,0.732,0.0718,10
cicids2018,10,0.7425,0.0691,10
5g_nidd,1,0.6796,0.1901,10
5g_nidd,2,0.7666,0.1213,10
5g_nidd,5,0.8205,0.1055,10
5g_nidd,10,0.8437,0.0449,10
nsl_kdd,1,0.6018,0.1793,10
nsl_kdd,2,0.6177,0.1801,10
nsl_kdd,5,0.6432,0.193,10
nsl_kdd,10,0.6649,0.179,10
