dataset,K,os_hm_mean,os_hm_std,n_seeds
toniot,1,0.7257,0.0511,10
toniot,2,0.7483,0.0574,10
toniot,5,0.8025,0.0445,10
toniot,10,0.8203,0.04,10
nbaiot,1,0.7016,0.0863,10
nbaiot,2,0.747,0.0825,10
nbaiot,5,0.7704,0.0813,10
nbaiot,10,0.7763,0.0796,10
cicids2018,1,0.6646,0.1311,10
cicids2018,2,0.6809,0.1291,10
cicids2018,5,0.7102,0.1233,10
cicids2018,10,0.7192,0.1047,10
5g_nidd,1,0.757,0.0614,10
5g_nidd,2,0.8055,0.0709,10
5g_nidd,5,0.8494,0.0403,10
5g_nidd,10,0.8467,0.0477,10
nsl_kdd,1,0.559,0.2477,10
nsl_kdd,2,0.598,0.2217,10
nsl_kdd,5,0.6005,0.2376,10
nsl_kdd,10,0.6231,0.2419,10
edge_iiotset,1,0.5783,0.0642,10
edge_iiotset,2,0.5923,0.0711,10
edge_iiotset,5,0.617,0.0583,10
edge_iiotset,10,0.6262,0.0516,10
ciciot2023_cat,1,0.5748,0.0807,10
ciciot2023_cat,2,0.583,0.0855,10
ciciot2023_cat,5,0.6072,0.0767,10
ciciot2023_cat,10,0.6174,0.077,10
