arm,dataset,n_seeds,OS_HM_mean,OS_HM_std,CCR_mean,CCR_std,TUR_mean,TUR_std,F1unknown_mean,F1unknown_std,macroF1U_mean,macroF1U_std,EWCNCM_tuned_OS_HM_ref,EWCNCM_tuned_CCR_ref,EWCNCM_tuned_TUR_ref
GONS (fixed),ToN-IoT,10,0.8002,0.0469,0.7336,0.0803,0.9012,0.0524,0.711,0.0417,0.7203,0.068,0.5957,0.7856,0.3922
GONS (fixed),N-BaIoT,10,0.7702,0.0619,0.7491,0.0937,0.8301,0.1026,0.649,0.0628,0.7475,0.067,0.6715,0.7815,0.6078
GONS (fixed),CICIDS2018,10,0.732,0.0718,0.7275,0.0648,0.7695,0.1164,0.6122,0.0763,0.6813,0.0661,0.5003,0.6466,0.4165
GONS (fixed),5G-NIDD,10,0.8205,0.1055,0.8209,0.0467,0.8584,0.142,0.7524,0.108,0.8204,0.0768,0.3716,0.8229,0.2636
GONS (fixed),NSL-KDD,10,0.6432,0.193,0.6536,0.2688,0.8627,0.1374,0.5135,0.099,0.6031,0.1075,0.5416,0.7668,0.4812
GONS (tuned),ToN-IoT,10,0.8071,0.1607,0.802,0.0593,0.8296,0.2189,0.6941,0.1353,0.7625,0.065,0.5957,0.7856,0.3922
GONS (tuned),N-BaIoT,10,0.7716,0.0603,0.7514,0.0937,0.8301,0.1026,0.649,0.0629,0.749,0.0664,0.6715,0.7815,0.6078
GONS (tuned),CICIDS2018,10,0.732,0.0714,0.7293,0.0629,0.7669,0.115,0.6115,0.0746,0.6806,0.0668,0.5003,0.6466,0.4165
GONS (tuned),5G-NIDD,10,0.8272,0.1069,0.821,0.0476,0.8582,0.1417,0.7529,0.1085,0.8209,0.0778,0.3716,0.8229,0.2636
GONS (tuned),NSL-KDD,10,0.6432,0.192,0.6524,0.2675,0.8618,0.138,0.5117,0.0993,0.5994,0.1048,0.5416,0.7668,0.4812
