Dataset,Seed,Method,OS-HM
5G-NIDD,42,GONS,0.8468
5G-NIDD,43,GONS,0.8683
5G-NIDD,44,GONS,0.8905
5G-NIDD,45,GONS,0.8318
5G-NIDD,46,GONS,0.8418
5G-NIDD,47,GONS,0.8768
5G-NIDD,48,GONS,0.8356
5G-NIDD,49,GONS,0.8924
5G-NIDD,50,GONS,0.7528
5G-NIDD,51,GONS,0.8573
ToN-IoT,42,GONS,0.7731
ToN-IoT,43,GONS,0.7803
ToN-IoT,44,GONS,0.859
ToN-IoT,45,GONS,0.8252
ToN-IoT,46,GONS,0.8256
ToN-IoT,47,GONS,0.7594
ToN-IoT,48,GONS,0.7167
ToN-IoT,49,GONS,0.8125
ToN-IoT,50,GONS,0.8196
ToN-IoT,51,GONS,0.8536
N-BaIoT,42,GONS,0.6565
N-BaIoT,43,GONS,0.7648
N-BaIoT,44,GONS,0.8271
N-BaIoT,45,GONS,0.5972
N-BaIoT,46,GONS,0.7952
N-BaIoT,47,GONS,0.8151
N-BaIoT,48,GONS,0.8619
N-BaIoT,49,GONS,0.8051
N-BaIoT,50,GONS,0.7777
N-BaIoT,51,GONS,0.8034
CICIDS2018,42,GONS,0.7126
CICIDS2018,43,GONS,0.6684
CICIDS2018,44,GONS,0.8096
CICIDS2018,45,GONS,0.8171
CICIDS2018,46,GONS,0.4061
CICIDS2018,47,GONS,0.7615
CICIDS2018,48,GONS,0.7504
CICIDS2018,49,GONS,0.7727
CICIDS2018,50,GONS,0.7826
CICIDS2018,51,GONS,0.6209
Edge-IIoTset,42,GONS,0.7281
Edge-IIoTset,43,GONS,0.6537
Edge-IIoTset,44,GONS,0.5655
Edge-IIoTset,45,GONS,0.5975
Edge-IIoTset,46,GONS,0.6624
Edge-IIoTset,47,GONS,0.5803
Edge-IIoTset,48,GONS,0.639
Edge-IIoTset,49,GONS,0.5232
Edge-IIoTset,50,GONS,0.633
Edge-IIoTset,51,GONS,0.5874
CICIoT2023 (7-category),42,GONS,0.4826
CICIoT2023 (7-category),43,GONS,0.7043
CICIoT2023 (7-category),44,GONS,0.5504
CICIoT2023 (7-category),45,GONS,0.6246
CICIoT2023 (7-category),46,GONS,0.5643
CICIoT2023 (7-category),47,GONS,0.7016
CICIoT2023 (7-category),48,GONS,0.5909
CICIoT2023 (7-category),49,GONS,0.6929
CICIoT2023 (7-category),50,GONS,0.6284
CICIoT2023 (7-category),51,GONS,0.5324
NSL-KDD,42,GONS,0.1326
NSL-KDD,43,GONS,0.7055
NSL-KDD,44,GONS,0.5026
NSL-KDD,45,GONS,0.7365
NSL-KDD,46,GONS,0.337
NSL-KDD,47,GONS,0.8063
NSL-KDD,48,GONS,0.6977
NSL-KDD,49,GONS,0.8052
NSL-KDD,50,GONS,0.8453
NSL-KDD,51,GONS,0.4359
5G-NIDD,42,EWC-NCM,0.4974
5G-NIDD,43,EWC-NCM,0.1179
5G-NIDD,44,EWC-NCM,0.834
5G-NIDD,45,EWC-NCM,0.4426
5G-NIDD,46,EWC-NCM,0.1592
5G-NIDD,47,EWC-NCM,0.2252
5G-NIDD,48,EWC-NCM,0.2816
5G-NIDD,49,EWC-NCM,0.1837
5G-NIDD,50,EWC-NCM,0.5312
5G-NIDD,51,EWC-NCM,0.4428
ToN-IoT,42,EWC-NCM,0.7255
ToN-IoT,43,EWC-NCM,0.449
ToN-IoT,44,EWC-NCM,0.6103
ToN-IoT,45,EWC-NCM,0.5059
ToN-IoT,46,EWC-NCM,0.7798
ToN-IoT,47,EWC-NCM,0.7544
ToN-IoT,48,EWC-NCM,0.3683
ToN-IoT,49,EWC-NCM,0.5953
ToN-IoT,50,EWC-NCM,0.4634
ToN-IoT,51,EWC-NCM,0.7054
N-BaIoT,42,EWC-NCM,0.6905
N-BaIoT,43,EWC-NCM,0.7913
N-BaIoT,44,EWC-NCM,0.6397
N-BaIoT,45,EWC-NCM,0.516
N-BaIoT,46,EWC-NCM,0.6917
N-BaIoT,47,EWC-NCM,0.7281
N-BaIoT,48,EWC-NCM,0.6898
N-BaIoT,49,EWC-NCM,0.5526
N-BaIoT,50,EWC-NCM,0.6859
N-BaIoT,51,EWC-NCM,0.7296
CICIDS2018,42,EWC-NCM,0.2979
CICIDS2018,43,EWC-NCM,0.5657
CICIDS2018,44,EWC-NCM,0.5442
CICIDS2018,45,EWC-NCM,0.4861
CICIDS2018,46,EWC-NCM,0.5712
CICIDS2018,47,EWC-NCM,0.5824
CICIDS2018,48,EWC-NCM,0.3187
CICIDS2018,49,EWC-NCM,0.5666
CICIDS2018,50,EWC-NCM,0.597
CICIDS2018,51,EWC-NCM,0.4728
Edge-IIoTset,42,EWC-NCM,0.5265
Edge-IIoTset,43,EWC-NCM,0.4481
Edge-IIoTset,44,EWC-NCM,0.41
Edge-IIoTset,45,EWC-NCM,0.5126
Edge-IIoTset,46,EWC-NCM,0.4056
Edge-IIoTset,47,EWC-NCM,0.4681
Edge-IIoTset,48,EWC-NCM,0.4293
Edge-IIoTset,49,EWC-NCM,0.3673
Edge-IIoTset,50,EWC-NCM,0.3121
Edge-IIoTset,51,EWC-NCM,0.4612
CICIoT2023 (7-category),42,EWC-NCM,0.3778
CICIoT2023 (7-category),43,EWC-NCM,0.5846
CICIoT2023 (7-category),44,EWC-NCM,0.3494
CICIoT2023 (7-category),45,EWC-NCM,0.5192
CICIoT2023 (7-category),46,EWC-NCM,0.536
CICIoT2023 (7-category),47,EWC-NCM,0.4772
CICIoT2023 (7-category),48,EWC-NCM,0.538
CICIoT2023 (7-category),49,EWC-NCM,0.4494
CICIoT2023 (7-category),50,EWC-NCM,0.5192
CICIoT2023 (7-category),51,EWC-NCM,0.3897
NSL-KDD,42,EWC-NCM,0.7453
NSL-KDD,43,EWC-NCM,0.4925
NSL-KDD,44,EWC-NCM,0.5837
NSL-KDD,45,EWC-NCM,0.3646
NSL-KDD,46,EWC-NCM,0.4434
NSL-KDD,47,EWC-NCM,0.1949
NSL-KDD,48,EWC-NCM,0.6598
NSL-KDD,49,EWC-NCM,0.4843
NSL-KDD,50,EWC-NCM,0.6427
NSL-KDD,51,EWC-NCM,0.8048
5G-NIDD,42,OpenMax,0.168
5G-NIDD,43,OpenMax,0.0242
5G-NIDD,44,OpenMax,0.6456
5G-NIDD,45,OpenMax,0.6532
5G-NIDD,46,OpenMax,0.0182
5G-NIDD,47,OpenMax,0.5516
5G-NIDD,48,OpenMax,0.4798
5G-NIDD,49,OpenMax,0.1408
