dataset,session_id,n_seeds,CCR_mean,CCR_std,TUR_mean,TUR_std,TUR_valid,OS_HM_mean,OS_HM_std
ToN-IoT,0,10,0.9162,0.0572,0.8188,0.1158,True,0.8578,0.0612
ToN-IoT,1,10,0.8164,0.0864,0.8564,0.1102,True,0.8283,0.0573
ToN-IoT,2,10,0.7676,0.0949,0.8675,0.1409,True,0.8049,0.0827
ToN-IoT,3,10,0.7027,0.1017,0.8868,0.0799,True,0.7767,0.0555
ToN-IoT,4,10,0.6579,0.0876,0.8787,0.0898,True,0.7448,0.0445
ToN-IoT,5,10,0.6312,0.086,,,False,,
N-BaIoT,0,10,0.8918,0.0828,0.8251,0.1454,True,0.8538,0.1093
N-BaIoT,1,10,0.7506,0.0813,0.7909,0.1551,True,0.7662,0.1057
N-BaIoT,2,10,0.697,0.0949,0.8151,0.1596,True,0.7478,0.1106
N-BaIoT,3,10,0.6882,0.0979,0.894,0.1584,True,0.7736,0.1108
N-BaIoT,4,10,0.6595,0.0856,0.8429,0.1465,True,0.7328,0.0947
N-BaIoT,5,10,0.6271,0.0923,0.9352,0.0757,True,0.7483,0.0824
N-BaIoT,6,10,0.587,0.0809,,,False,,
CICIDS2018,0,10,0.9606,0.0715,0.6817,0.2416,True,0.77,0.1986
CICIDS2018,1,10,0.8436,0.0698,0.7233,0.1636,True,0.7627,0.1085
CICIDS2018,2,10,0.8221,0.0712,0.7264,0.1653,True,0.7556,0.1047
CICIDS2018,3,10,0.8077,0.0829,0.7069,0.1626,True,0.7368,0.1034
CICIDS2018,4,10,0.7684,0.102,0.6864,0.2024,True,0.6974,0.1675
CICIDS2018,5,10,0.7342,0.0984,0.6626,0.2362,True,0.6612,0.1842
CICIDS2018,6,10,0.682,0.0925,0.7608,0.2833,True,0.6796,0.1644
CICIDS2018,7,10,0.6325,0.0708,0.7035,0.2984,True,0.6181,0.1858
CICIDS2018,8,10,0.5887,0.058,,,False,,
5G-NIDD,0,10,0.9103,0.1032,0.8825,0.1303,True,0.8838,0.0544
5G-NIDD,1,10,0.8665,0.0861,0.894,0.1049,True,0.8719,0.0391
5G-NIDD,2,10,0.808,0.0839,0.9096,0.0773,True,0.8509,0.0522
5G-NIDD,3,10,0.7729,0.0973,0.8969,0.0872,True,0.8237,0.0679
5G-NIDD,4,10,0.7065,0.0843,0.9803,0.0605,True,0.8166,0.0581
5G-NIDD,5,10,0.6964,0.0851,,,False,,
NSL-KDD,0,10,0.8827,0.0628,0.4948,0.4493,True,0.4962,0.4274
NSL-KDD,1,10,0.8245,0.1382,0.7669,0.2907,True,0.7488,0.2379
NSL-KDD,2,10,0.7392,0.2119,0.8187,0.2443,True,0.7576,0.2088
NSL-KDD,3,10,0.6684,0.3153,0.9264,0.0867,True,0.7183,0.2864
NSL-KDD,4,10,0.5716,0.3745,0.9436,0.0675,True,0.6319,0.3552
NSL-KDD,5,10,0.4583,0.3661,0.9191,0.1005,True,0.5132,0.3483
NSL-KDD,6,10,0.4451,0.3678,0.9143,0.1353,True,0.4865,0.3425
NSL-KDD,7,10,0.4549,0.3602,0.8333,0.2357,True,0.4512,0.2941
NSL-KDD,8,10,0.4354,0.356,,,False,,
Edge-IIoTset,0,10,0.6935,0.0946,0.7949,0.0666,True,0.7358,0.0571
Edge-IIoTset,1,10,0.6623,0.1108,0.7356,0.0805,True,0.689,0.0628
Edge-IIoTset,2,10,0.6184,0.1015,0.7517,0.0715,True,0.6706,0.0552
Edge-IIoTset,3,10,0.5819,0.1034,0.7156,0.0925,True,0.6334,0.0654
Edge-IIoTset,4,10,0.5524,0.0846,0.6912,0.1149,True,0.6046,0.0557
Edge-IIoTset,5,10,0.5107,0.0763,0.6732,0.1114,True,0.5744,0.0677
Edge-IIoTset,6,10,0.4689,0.068,0.6417,0.1462,True,0.5331,0.0809
Edge-IIoTset,7,10,0.4359,0.0693,0.6561,0.2557,True,0.4952,0.1104
Edge-IIoTset,8,10,0.403,0.0606,,,False,,
CICIoT2023 (7-category),0,10,0.79,0.1628,0.6641,0.1334,True,0.7013,0.0864
CICIoT2023 (7-category),1,10,0.5957,0.1335,0.7338,0.0713,True,0.6465,0.077
CICIoT2023 (7-category),2,10,0.4882,0.1002,0.7214,0.0853,True,0.5753,0.0782
CICIoT2023 (7-category),3,10,0.4296,0.0719,0.6443,0.1735,True,0.5058,0.0816
CICIoT2023 (7-category),4,10,0.3609,0.0541,,,False,,
