dataset,projection_mode,n_seeds,os_hm_mean,os_hm_std,ccr_mean,tur_mean
ToN-IoT,null_space,10,0.8000,0.0445,0.7332,0.9011
N-BaIoT,null_space,10,0.7702,0.0587,0.7492,0.8301
CICIDS2018,null_space,10,0.7320,0.0681,0.7276,0.7695
5G-NIDD,null_space,10,0.8210,0.1005,0.8217,0.8584
NSL-KDD,null_space,10,0.6420,0.1826,0.6532,0.8620
ALL (mean-5ds),null_space,50,0.7530,0.0631,0.7370,0.8442
ToN-IoT,pca,10,0.1666,0.1522,0.6972,0.1146
N-BaIoT,pca,10,0.4325,0.1402,0.7849,0.3461
CICIDS2018,pca,10,0.0711,0.0585,0.6403,0.0412
5G-NIDD,pca,10,0.5208,0.2642,0.8086,0.5037
NSL-KDD,pca,10,0.5076,0.1231,0.7433,0.4503
ALL (mean-5ds),pca,50,0.3397,0.1853,0.7349,0.2912
ToN-IoT,random,10,0.1993,0.0738,0.5640,0.1315
N-BaIoT,random,10,0.4176,0.1734,0.7166,0.3506
CICIDS2018,random,10,0.2525,0.0942,0.6322,0.1732
5G-NIDD,random,10,0.4920,0.2346,0.7544,0.4980
NSL-KDD,random,10,0.6018,0.1234,0.6916,0.6197
ALL (mean-5ds),random,50,0.3926,0.1492,0.6718,0.3546
