method,ToN-IoT,N-BaIoT,CICIDS2018,5G-NIDD,NSL-KDD,mean_orig4,mean_5ds
GONS fixed,0.8002,0.7702,0.732,0.8205,0.6432,0.7807,0.7532
GONS tuned,0.8071,0.7716,0.732,0.8272,0.6432,0.7845,0.7562
EWC-NCM (tuned),0.5957,0.6715,0.5003,0.3716,0.5416,0.5348,0.5361
NC-FSCIL (tuned),0.2339,0.447,0.549,0.5558,0.0424,0.4464,0.3656
OpenMax (tuned),0.2755,0.5599,0.4005,0.3479,0.4163,0.396,0.4
MSP (tuned),0.3564,0.2671,0.3482,0.1666,0.47,0.2846,0.3217
DOC (tuned),0.211,0.2077,0.1419,0.2154,0.3322,0.194,0.2216
BiC (tuned),0.1749,0.1782,0.1502,0.2809,0.1044,0.1961,0.1777
RFS (tuned),0.031,0.236,0.0165,0.1695,0.0594,0.1133,0.1025
IKNDA (landmark),0.224,0.021,0.082,0.262,0.001,0.1473,0.1180
EWC-NCM (default),0.4955,0.6568,0.4771,0.3143,0.5416,0.4859,0.4971
NC-FSCIL (default),0.2131,0.3238,0.1288,0.2866,0.0424,0.2381,0.1989
OpenMax (default),0.2818,0.5635,0.4072,0.3511,0.4611,0.4009,0.4129
MSP (default),0.0556,0.0511,0.0674,0.0129,0.47,0.0467,0.1314
DOC (default),0.1358,0.1923,0.1026,0.1982,0.3322,0.1572,0.1922
BiC (default),0.1749,0.1782,0.1502,0.2808,0.1044,0.196,0.1777
RFS (default),0.031,0.236,0.0165,0.1695,0.0594,0.1133,0.1025
