dataset,config,seed,os_hm,ccr,tur,f1_unknown,macro_f1_with_unknown
ToN-IoT,fixed,42,0.7688,0.646,0.9799,0.6807,0.6792
ToN-IoT,fixed,43,0.7866,0.7617,0.8247,0.6981,0.7054
ToN-IoT,fixed,44,0.8694,0.8608,0.8786,0.795,0.8334
ToN-IoT,fixed,45,0.8251,0.7602,0.9283,0.7239,0.7102
ToN-IoT,fixed,46,0.8259,0.7716,0.896,0.7104,0.7574
ToN-IoT,fixed,47,0.7206,0.5958,0.9149,0.7108,0.6147
ToN-IoT,fixed,48,0.7432,0.6954,0.8205,0.648,0.6453
ToN-IoT,fixed,49,0.7906,0.6838,0.9452,0.6725,0.6991
ToN-IoT,fixed,50,0.8236,0.7353,0.9477,0.7165,0.753
ToN-IoT,fixed,51,0.8486,0.8249,0.8761,0.7541,0.8051
N-BaIoT,fixed,42,0.7029,0.7152,0.7127,0.5603,0.7201
N-BaIoT,fixed,43,0.7602,0.7005,0.8449,0.6274,0.7239
N-BaIoT,fixed,44,0.8365,0.7887,0.9138,0.7117,0.7938
N-BaIoT,fixed,45,0.6865,0.6431,0.7517,0.5628,0.655
N-BaIoT,fixed,46,0.7093,0.8507,0.65,0.6017,0.7831
N-BaIoT,fixed,47,0.8038,0.7464,0.8963,0.6717,0.7481
N-BaIoT,fixed,48,0.8364,0.8103,0.8727,0.7088,0.7921
N-BaIoT,fixed,49,0.8041,0.7854,0.8327,0.6669,0.77
N-BaIoT,fixed,51,0.8436,0.8774,0.8264,0.7439,0.8556
N-BaIoT,fixed,50,0.7182,0.5737,1.0,0.6349,0.6335
CICIDS2018,fixed,44,0.8115,0.7652,0.8771,0.7139,0.6865
CICIDS2018,fixed,42,0.7111,0.6071,0.8817,0.6141,0.6103
CICIDS2018,fixed,43,0.7116,0.6998,0.7683,0.5974,0.702
CICIDS2018,fixed,45,0.8144,0.8005,0.8371,0.6407,0.7827
CICIDS2018,fixed,48,0.7734,0.7866,0.7702,0.5943,0.757
CICIDS2018,fixed,49,0.7624,0.7725,0.7663,0.6553,0.6829
CICIDS2018,fixed,46,0.6002,0.7374,0.5305,0.4497,0.6565
CICIDS2018,fixed,47,0.7434,0.7755,0.7262,0.5632,0.7334
CICIDS2018,fixed,51,0.6261,0.6559,0.6382,0.5852,0.5739
CICIDS2018,fixed,50,0.7656,0.6749,0.8994,0.7084,0.6273
5G-NIDD,fixed,45,0.8037,0.8339,0.7975,0.754,0.8058
5G-NIDD,fixed,42,0.8542,0.8105,0.9145,0.8284,0.7996
5G-NIDD,fixed,44,0.9046,0.8286,0.9961,0.8519,0.8667
5G-NIDD,fixed,43,0.8251,0.8475,0.8498,0.7266,0.8271
5G-NIDD,fixed,46,0.8257,0.8476,0.8552,0.7314,0.8389
5G-NIDD,fixed,47,0.8841,0.8097,0.9751,0.8161,0.8537
5G-NIDD,fixed,48,0.7846,0.8718,0.7339,0.6844,0.8368
5G-NIDD,fixed,50,0.5442,0.7032,0.5355,0.4899,0.6171
5G-NIDD,fixed,51,0.8734,0.8036,0.959,0.7956,0.8668
5G-NIDD,fixed,49,0.9056,0.8525,0.9678,0.8457,0.8916
NSL-KDD,fixed,44,0.5082,0.4238,0.979,0.5985,0.5518
NSL-KDD,fixed,42,0.3791,0.3148,0.9476,0.4393,0.4525
NSL-KDD,fixed,46,0.3287,0.239,0.9998,0.4881,0.4053
NSL-KDD,fixed,45,0.7493,0.9009,0.6642,0.4084,0.6633
NSL-KDD,fixed,43,0.7776,0.8926,0.6998,0.4044,0.6668
NSL-KDD,fixed,47,0.7455,0.9213,0.6557,0.4566,0.7413
NSL-KDD,fixed,48,0.6935,0.7104,0.8762,0.5014,0.5871
NSL-KDD,fixed,51,0.5351,0.4594,0.9838,0.6993,0.6004
NSL-KDD,fixed,49,0.8234,0.7584,0.9431,0.6314,0.6934
NSL-KDD,fixed,50,0.8919,0.9157,0.8777,0.5072,0.6691
ToN-IoT,tuned,42,0.8302,0.7372,0.97,0.7229,0.7339
