Method,Dataset,GONS,Baseline,Delta,Paired t p,Wilcoxon p,Seeds won,Holm p,Significant
EWC-NCM,5G-NIDD,0.8494,0.3716,0.4778,0.0001,0.002,10,0.0022,yes
EWC-NCM,ToN-IoT,0.8025,0.5957,0.2068,0.001,0.002,10,0.01,yes
EWC-NCM,N-BaIoT,0.7704,0.6715,0.0989,0.0066,0.0098,8,0.0396,yes
EWC-NCM,CICIDS2018,0.7102,0.5003,0.2099,0.0039,0.0098,9,0.0308,yes
EWC-NCM,Edge-IIoTset,0.617,0.4341,0.1829,0.0,0.002,10,0.0005,yes
EWC-NCM,CICIoT2023 (7-category),0.6072,0.4741,0.1332,0.0002,0.002,10,0.0034,yes
EWC-NCM,NSL-KDD,0.6005,0.5416,0.0589,0.6222,0.625,6,0.6222,no
OpenMax,5G-NIDD,0.8494,0.3479,0.5015,0.0002,0.002,10,0.0031,yes
OpenMax,ToN-IoT,0.8025,0.2755,0.527,0.0,0.002,10,0.0001,yes
OpenMax,N-BaIoT,0.7704,0.5599,0.2105,0.0003,0.002,10,0.0044,yes
OpenMax,CICIDS2018,0.7102,0.4005,0.3097,0.0005,0.002,10,0.0063,yes
OpenMax,Edge-IIoTset,0.617,0.3053,0.3117,0.0001,0.002,10,0.0022,yes
OpenMax,CICIoT2023 (7-category),0.6072,0.3065,0.3007,0.0,0.002,10,0.0,yes
OpenMax,NSL-KDD,0.6005,0.4163,0.1841,0.0693,0.1309,7,0.1386,no
MSP,5G-NIDD,0.8494,0.1666,0.6829,0.0,0.002,10,0.0,yes
MSP,ToN-IoT,0.8025,0.3564,0.4461,0.0,0.002,10,0.0,yes
MSP,N-BaIoT,0.7704,0.2671,0.5033,0.0,0.002,10,0.0,yes
MSP,CICIDS2018,0.7102,0.3482,0.362,0.0001,0.0039,9,0.0023,yes
MSP,Edge-IIoTset,0.617,0.4274,0.1896,0.0003,0.002,10,0.0045,yes
MSP,CICIoT2023 (7-category),0.6072,0.27,0.3372,0.0009,0.002,10,0.01,yes
MSP,NSL-KDD,0.6005,0.47,0.1305,0.0299,0.0488,8,0.1014,no
NC-FSCIL,5G-NIDD,0.8494,0.5558,0.2936,0.0051,0.002,10,0.0355,yes
NC-FSCIL,ToN-IoT,0.8025,0.2339,0.5686,0.0,0.002,10,0.0,yes
NC-FSCIL,N-BaIoT,0.7704,0.447,0.3234,0.0009,0.002,10,0.01,yes
NC-FSCIL,CICIDS2018,0.7102,0.549,0.1612,0.0245,0.002,10,0.1014,no
NC-FSCIL,Edge-IIoTset,0.617,0.1361,0.4809,0.0,0.002,10,0.0,yes
NC-FSCIL,CICIoT2023 (7-category),0.6072,0.3106,0.2966,0.0002,0.002,10,0.0031,yes
NC-FSCIL,NSL-KDD,0.6005,0.0424,0.5581,0.0,0.002,10,0.0005,yes
DOC,5G-NIDD,0.8494,0.2154,0.634,0.0,0.002,10,0.0,yes
DOC,ToN-IoT,0.8025,0.211,0.5915,0.0,0.002,10,0.0,yes
DOC,N-BaIoT,0.7704,0.2077,0.5627,0.0,0.002,10,0.0,yes
DOC,CICIDS2018,0.7102,0.1419,0.5683,0.0,0.002,10,0.0,yes
DOC,Edge-IIoTset,0.617,0.104,0.513,0.0,0.002,10,0.0,yes
DOC,CICIoT2023 (7-category),0.6072,0.1083,0.4989,0.0,0.002,10,0.0,yes
DOC,NSL-KDD,0.6005,0.3322,0.2683,0.0203,0.0273,8,0.1014,no
BiC,5G-NIDD,0.8494,0.2809,0.5686,0.0,0.002,10,0.0,yes
BiC,ToN-IoT,0.8025,0.1749,0.6276,0.0,0.002,10,0.0,yes
BiC,N-BaIoT,0.7704,0.1782,0.5922,0.0,0.002,10,0.0,yes
BiC,CICIDS2018,0.7102,0.1502,0.56,0.0,0.002,10,0.0,yes
BiC,Edge-IIoTset,0.617,0.1225,0.4945,0.0,0.002,10,0.0,yes
BiC,CICIoT2023 (7-category),0.6072,0.1576,0.4496,0.0,0.002,10,0.0,yes
BiC,NSL-KDD,0.6005,0.1044,0.496,0.0006,0.0039,9,0.0072,yes
RFS,5G-NIDD,0.8494,0.1695,0.6799,0.0,0.002,10,0.0,yes
RFS,ToN-IoT,0.8025,0.031,0.7715,0.0,0.002,10,0.0,yes
RFS,N-BaIoT,0.7704,0.236,0.5344,0.0,0.002,10,0.0,yes
RFS,CICIDS2018,0.7102,0.0165,0.6937,0.0,0.002,10,0.0,yes
RFS,Edge-IIoTset,0.617,0.03,0.587,0.0,0.002,10,0.0,yes
RFS,CICIoT2023 (7-category),0.6072,0.0766,0.5307,0.0,0.002,10,0.0,yes
RFS,NSL-KDD,0.6005,0.0594,0.541,0.0002,0.002,10,0.0033,yes
